mechanic,percent_mono_white_cards,percent_mono_blue_cards,percent_mono_black_cards,percent_mono_red_cards,percent_mono_green_cards,mono_colored_cards_with_mechanic
Flying,15.2,17.8,10.7,5.2,1.1,2265
Enchant,6.0,7.0,4.6,3.6,4.4,1157
Trample,0.3,0.4,1.3,4.1,7.9,631
Flash,2.6,4.0,1.3,0.7,1.5,454
Vigilance,5.7,1.3,0.0,0.0,2.0,411
Haste,0.0,0.0,0.6,7.2,0.8,394
Mill,0.0,3.9,2.6,0.2,1.7,381
Scry,1.5,3.1,0.7,0.7,0.5,292
Cycling,1.4,1.6,1.1,1.3,1.1,289
Reach,0.2,0.0,0.1,1.1,5.0,283
First strike,2.7,0.1,0.5,2.3,0.1,262
Transform,1.1,1.1,1.2,1.0,1.2,258
Defender,1.3,1.5,0.7,0.8,1.0,238
Menace,0.0,0.0,3.2,2.0,0.0,238
Kicker,0.7,1.0,0.9,1.0,1.2,214
Treasure,0.2,0.3,1.1,2.5,0.6,212
Lifelink,2.5,0.0,2.1,0.0,0.0,211
Deathtouch,0.0,0.0,3.2,0.0,1.3,202
Equip,1.2,0.5,0.7,1.2,0.6,186
Flashback,0.5,0.8,0.6,1.1,0.9,172
