set_name,release_year,paper_constructed_cards_in_set,avg_mana_value,avg_complexity_score,creature_type_share,artifact_type_share,enchantment_type_share,instant_type_share,sorcery_type_share,land_type_share,percent_colorless_cards,percent_monocolored_cards,percent_multicolored_cards
Arabian Nights,1993,78,2.62,33,0.55,0.18,0.09,0.05,0.04,0.12,29,71,0
Antiquities,1994,84,2.8,34,0.39,0.51,0.12,0.05,0.06,0.07,58,42,0
Fallen Empires,1994,102,2.36,38,0.53,0.11,0.19,0.03,0.04,0.11,22,78,0
Legends,1994,308,3.42,31,0.49,0.09,0.19,0.14,0.06,0.04,13,69,18
The Dark,1994,119,2.92,31,0.5,0.17,0.17,0.08,0.09,0.03,20,77,3
Homelands,1995,114,3.23,27,0.58,0.09,0.16,0.08,0.1,0.04,13,87,0
Ice Age,1995,372,2.78,35,0.36,0.12,0.26,0.14,0.08,0.06,18,75,7
Alliances,1996,144,2.95,39,0.43,0.15,0.17,0.19,0.06,0.06,20,73,7
Mirage,1996,335,3.03,29,0.46,0.1,0.14,0.19,0.11,0.04,13,76,10
Tempest,1997,335,2.71,27,0.46,0.12,0.18,0.12,0.09,0.06,18,79,3
Visions,1997,167,2.75,34,0.44,0.11,0.21,0.15,0.08,0.05,16,75,9
Weatherlight,1997,167,2.84,34,0.49,0.11,0.21,0.1,0.1,0.02,13,87,0
Exodus,1998,143,2.86,31,0.52,0.08,0.24,0.1,0.07,0.01,9,91,0
Stronghold,1998,143,2.75,29,0.5,0.08,0.18,0.12,0.12,0.01,8,87,4
Urza's Saga,1998,335,2.87,28,0.37,0.1,0.3,0.1,0.1,0.05,15,85,0
Mercadian Masques,1999,335,3.13,21,0.47,0.09,0.2,0.11,0.08,0.06,15,85,0
Urza's Destiny,1999,143,3.05,27,0.51,0.12,0.2,0.08,0.13,0.01,13,87,0
Urza's Legacy,1999,143,2.96,28,0.45,0.13,0.2,0.17,0.04,0.03,16,84,0
Invasion,2000,335,3.1,32,0.47,0.07,0.16,0.16,0.12,0.05,12,67,21
Nemesis,2000,143,3.15,27,0.52,0.1,0.18,0.13,0.09,0.02,13,87,0
Prophecy,2000,143,3.59,23,0.52,0.04,0.21,0.1,0.14,0.01,6,94,0
Apocalypse,2001,143,3.29,36,0.48,0.04,0.18,0.1,0.17,0.03,8,63,29
Odyssey,2001,335,3.01,28,0.44,0.04,0.17,0.13,0.16,0.07,12,85,3
Planeshift,2001,143,3.05,41,0.46,0.03,0.18,0.19,0.09,0.06,9,66,24
Judgment,2002,143,3.31,37,0.52,0.0,0.13,0.2,0.14,0.02,2,95,3
Onslaught,2002,335,3.32,27,0.52,0.02,0.14,0.15,0.1,0.07,9,91,0
Torment,2002,143,3.15,39,0.5,0.0,0.12,0.15,0.19,0.03,3,97,0
Legions,2003,145,3.85,32,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0
Mirrodin,2003,291,3.16,26,0.42,0.49,0.05,0.12,0.06,0.05,52,48,0
Scourge,2003,143,3.91,37,0.48,0.02,0.2,0.17,0.13,0.01,3,94,3
Champions of Kamigawa,2004,291,3.34,28,0.52,0.08,0.09,0.15,0.1,0.07,14,86,0
Darksteel,2004,165,3.56,30,0.43,0.44,0.02,0.19,0.1,0.02,45,55,0
Fifth Dawn,2004,165,3.93,29,0.45,0.39,0.05,0.13,0.11,0.0,39,61,0
Betrayers of Kamigawa,2005,165,3.44,37,0.54,0.07,0.11,0.16,0.1,0.01,8,91,1
Ravnica: City of Guilds,2005,291,3.57,36,0.51,0.07,0.12,0.15,0.1,0.06,13,65,22
Saviors of Kamigawa,2005,165,3.45,32,0.58,0.06,0.1,0.15,0.13,0.02,8,91,1
Coldsnap,2006,155,3.19,40,0.59,0.05,0.09,0.14,0.06,0.08,13,81,6
Dissension,2006,180,3.32,37,0.5,0.06,0.13,0.16,0.11,0.06,12,56,33
Guildpact,2006,165,3.35,31,0.54,0.04,0.13,0.13,0.11,0.05,10,60,30
Time Spiral,2006,286,3.29,60,0.58,0.07,0.06,0.14,0.11,0.06,14,82,4
Time Spiral Timeshifted,2006,121,3.31,41,0.63,0.08,0.09,0.07,0.1,0.04,12,74,13
Future Sight,2007,180,3.13,61,0.54,0.06,0.16,0.11,0.1,0.07,12,86,2
Lorwyn,2007,286,3.07,37,0.59,0.04,0.09,0.11,0.08,0.07,12,86,3
Planar Chaos,2007,165,3.44,58,0.65,0.0,0.12,0.15,0.08,0.01,1,93,7
Eventide,2008,180,3.43,47,0.65,0.05,0.08,0.11,0.12,0.03,8,44,47
