set_name,release_year,set_type,set_design_deviation_score,mana_cost_z_score,complexity_z_score,card_types_z_score,color_types_z_score
Secrets of Strixhaven,2026,expansion,6.87,2.431,1.295,1.316,1.829
Alara Reborn,2009,expansion,3.66,0.703,0.007,0.357,2.591
Legions,2003,expansion,3.18,0.679,0.614,0.952,0.931
March of the Machine: The Aftermath,2023,expansion,2.67,0.257,0.924,0.491,0.994
Prophecy,2000,expansion,2.64,0.46,0.946,0.448,0.79
Fifth Dawn,2004,expansion,2.47,0.753,0.713,0.49,0.515
Antiquities,1994,expansion,2.44,0.229,0.507,0.716,0.991
Darksteel,2004,expansion,2.42,0.428,0.671,0.652,0.668
Scourge,2003,expansion,2.4,0.732,0.425,0.47,0.778
Mirrodin,2003,expansion,2.36,0.086,0.835,0.605,0.829
