card_id,keyword
2-mace,Equip
a-little-chat,Casualty
aang-air-nomad,Flying
aang-air-nomad,Vigilance
aang-airbending-master,Airbend
aang-at-the-crossroads-aang-destined-savior,Earthbend
aang-at-the-crossroads-aang-destined-savior,Flying
aang-at-the-crossroads-aang-destined-savior,Transform
aang-s-iceberg,Flash
aang-s-iceberg,Scry
aang-s-iceberg,Waterbend
aang-s-journey,Kicker
aang-swift-savior-aang-and-la-ocean-s-fury,Airbend
aang-swift-savior-aang-and-la-ocean-s-fury,Flash
aang-swift-savior-aang-and-la-ocean-s-fury,Flying
aang-swift-savior-aang-and-la-ocean-s-fury,Reach
aang-swift-savior-aang-and-la-ocean-s-fury,Trample
aang-swift-savior-aang-and-la-ocean-s-fury,Transform
aang-swift-savior-aang-and-la-ocean-s-fury,Waterbend
aang-the-last-airbender,Airbend
aang-the-last-airbender,Flying
aarakocra-sneak,Flying
aardvark-sloth,Lifelink
abaddon-the-despoiler,Mark of Chaos Ascendant
abaddon-the-despoiler,Trample
abandon-reason,Madness
abandon-the-post,Flashback
abattoir-ghoul,First strike
abbey-gargoyles,Flying
abbey-gargoyles,Protection
abbey-griffin,Flying
abbey-griffin,Vigilance
abbot-of-keral-keep,Prowess
abby-merciless-soldier,Partner
abdel-adrian-gorion-s-ward,Choose a background
abduction,Enchant
aberrant,Heavy Power Hammer
aberrant,Ravenous
aberrant,Trample
aberrant-researcher-perfected-form,Flying
aberrant-researcher-perfected-form,Mill
aberrant-researcher-perfected-form,Transform
abhorrent-oculus,Flying
abhorrent-oculus,Manifest
abhorrent-oculus,Manifest dread
abhorrent-overlord,Flying
abigale-eloquent-first-year,First strike
abigale-eloquent-first-year,Flying
abigale-eloquent-first-year,Lifelink
aboleth-spawn,Flash
aboleth-spawn,Probing Telepathy
aboleth-spawn,Ward
abominable-treefolk,Trample
abomination-of-gudul,Flying
abomination-of-gudul,Morph
abomination-of-llanowar,Menace
abomination-of-llanowar,Vigilance
aboroth,Cumulative upkeep
aboshan-s-desire,Enchant
aboshan-s-desire,Threshold
absolute-virtue,Flying
absolver-thrull,Haunt
absolving-lammasu,Flying
absorb-vis,Basic landcycling
absorb-vis,Cycling
absorb-vis,Landcycling
absorb-vis,Typecycling
abstruse-appropriation,Devoid
abstruse-archaic,Vigilance
abstruse-interference,Devoid
abuelo-ancestral-echo,Flying
abuelo-ancestral-echo,Ward
abuna-s-chant,Entwine
abundant-growth,Enchant
abundant-maw,Emerge
abyssal-horror,Flying
abyssal-persecutor,Flying
abyssal-persecutor,Trample
abyssal-specter,Flying
abzan-advantage,Bolster
abzan-battle-priest,Outlast
abzan-falconer,Outlast
abzan-guide,Lifelink
abzan-guide,Morph
abzan-runemark,Enchant
abzan-skycaptain,Bolster
abzan-skycaptain,Flying
academic-dispute,Learn
academy-drake,Flying
academy-drake,Kicker
academy-manufactor,Food
academy-manufactor,Treasure
academy-raider,Intimidate
academy-wall,Defender
accomplished-automaton,Fabricate
accorder-paladin,Battle Cry
accorder-s-shield,Equip
accursed-spirit,Intimidate
accursed-witch-infectious-curse,Enchant
accursed-witch-infectious-curse,Transform
ace-fearless-rebel,Doctor's companion
ace-fearless-rebel,Fight
ace-fearless-rebel,Nitro-9
ace-s-baseball-bat,Equip
acererak-the-archlich,Venture into the dungeon
achilles-davenport,Freerunning
achilles-davenport,Menace
acid-spewer-dragon,Deathtouch
acid-spewer-dragon,Flying
acid-spewer-dragon,Megamorph
acid-web-spider,Reach
acidic-slime,Deathtouch
aclazotz-deepest-betrayal-temple-of-the-dead,Flying
aclazotz-deepest-betrayal-temple-of-the-dead,Lifelink
aclazotz-deepest-betrayal-temple-of-the-dead,Transform
acolyte-hybrid,Heavy Rock Cutter
acolyte-of-affliction,Mill
acolyte-of-the-inferno,Renown
acorn-harvest,Flashback
acquired-mutation,Enchant
acquired-mutation,Goad
acquisition-octopus,Reconfigure
acridian,Echo
acrobatic-cheerleader,Survival
action-news-crew,Channel
action-news-crew,Vigilance
activated-sleeper,Flash
adagia-windswept-bastion,Station
adaptive-omnitool,Equip
adaptive-shimmerer,Flash
adaptive-snapjaw,Evolve
adaptive-sporesinger,Proliferate
adaptive-sporesinger,Vigilance
adarkar-valkyrie,Flying
adarkar-valkyrie,Vigilance
adarkar-windform,Flying
adder-staff-boggart,Clash
adelbert-steiner,Lifelink
adeline-resplendent-cathar,Vigilance
adeliz-the-cinder-wind,Flying
adeliz-the-cinder-wind,Haste
adipose-offspring,Emerge
admiral-brass-unsinkable,Mill
admiral-s-order,Raid
admonition-angel,Flying
admonition-angel,Landfall
adorned-crocodile,Renew
adorned-pouncer,Double strike
adorned-pouncer,Eternalize
adrestia,Crew
adrestia,Islandwalk
adrestia,Landwalk
adriana-captain-of-the-guard,Melee
adric-mathematical-genius,Doctor's companion
adric-mathematical-genius,Ultimate Sacrifice
adrix-and-nev-twincasters,Ward
adult-gold-dragon,Flying
adult-gold-dragon,Haste
adult-gold-dragon,Lifelink
advance-scout,First strike
advanced-hoverguard,Flying
advanced-stitchwing,Flying
adventurer-s-airship,Crew
adventurer-s-airship,Flying
adventuring-gear,Equip
adventuring-gear,Landfall
adverse-conditions,Devoid
aegis-angel,Flying
aegis-of-the-legion,Equip
aegis-sculptor,Flying
aegis-sculptor,Ward
aeon-chronicler,Suspend
aerathi-berserker,Rampage
aerial-boost,Convoke
aerial-caravan,Flying
aerial-extortionist,Flying
aerial-formation,Strive
aerial-guide,Flying
aerial-modification,Enchant
aerial-responder,Flying
aerial-responder,Lifelink
aerial-responder,Vigilance
aerial-surveyor,Crew
aerial-surveyor,Flying
aerie-auxiliary,Flying
aerie-auxiliary,Support
aerie-bowmasters,Megamorph
aerie-bowmasters,Reach
aerie-mystics,Flying
aerie-ouphes,Persist
aerie-worshippers,Inspired
aerith-gainsborough,Lifelink
aerith-last-ancient,Lifelink
aerith-rescue-mission,Take 59 Flights of Stairs
aerith-rescue-mission,Take the Elevator
aeromoeba,Flying
aeromunculus,Adapt
aeromunculus,Flying
aeronaut-admiral,Flying
aeronaut-cavalry,Flying
aeronaut-s-wings,Equip
aesi-tyrant-of-gyre-strait,Landfall
aesthir-glider,Flying
aether-chaser,First strike
aether-figment,Kicker
aether-inspector,Vigilance
aether-meltdown,Enchant
aether-meltdown,Flash
aether-membrane,Defender
aether-membrane,Reach
aether-poisoner,Deathtouch
aether-revolt,Revolt
aether-swooper,Flying
aether-syphon,Max speed
aether-syphon,Mill
aether-syphon,Start your engines!
aether-theorist,Scry
